@relation mididateWEKA
@attribute s1 {60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,0}
@attribute s2 {60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,0}
@attribute a {55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,0}
@attribute a1 {55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,0}
@attribute a2 {55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,0}
@attribute t {48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,0}
@attribute t1 {48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,0}
@attribute t2 {48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,0}
@attribute b {41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,0}
@attribute b1 {41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,0}
@attribute b2 {41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,0}

@data
67,65,60,59,60,53,50,57,41,43,45
65,65,59,60,62,50,57,55,43,45,47
65,64,60,62,60,57,55,55,45,47,48
64,64,62,60,60,55,55,55,47,48,41
64,0,60,60,0,55,55,0,48,41,0
67,67,0,64,64,0,60,60,0,48,52
67,65,64,64,62,60,60,59,48,52,55
65,64,64,62,64,60,59,60,52,55,60
64,67,62,64,64,59,60,60,55,60,60
67,67,64,64,64,60,60,60,60,60,59
67,72,64,64,64,60,60,60,60,59,57
72,72,64,64,65,60,60,60,59,57,57
72,72,64,65,67,60,60,64,57,57,55
72,74,65,67,67,60,64,65,57,55,55
74,71,67,67,67,64,65,62,55,55,55
71,71,67,67,65,65,62,62,55,55,55
71,72,67,65,64,62,62,60,55,55,48
72,76,65,64,67,62,60,60,55,48,48
76,74,64,67,67,60,60,59,48,48,55
74,76,67,67,67,60,59,60,48,55,48
76,74,67,67,67,59,60,62,55,48,47
74,72,67,67,67,60,62,64,48,47,48
72,71,67,67,67,62,64,62,47,48,50
71,69,67,67,66,64,62,60,48,50,50
69,67,67,66,67,62,60,59,50,50,55
67,72,66,67,64,60,59,60,50,55,48
72,72,67,64,67,59,60,60,55,48,52
72,67,64,67,64,60,60,60,48,52,48
67,69,67,64,65,60,60,60,52,48,53
69,72,64,65,67,60,60,60,48,53,52
72,77,65,67,65,60,60,62,53,52,50
77,76,67,65,67,60,62,60,52,50,52
76,74,65,67,65,62,60,57,50,52,53
74,72,67,65,65,60,57,57,52,53,53
72,72,65,65,64,57,57,55,53,53,55
72,71,65,64,62,57,55,55,53,55,55
71,69,64,62,62,55,55,57,55,55,53
69,69,62,62,62,55,57,59,55,53,53
69,67,62,62,64,57,59,60,53,53,52
67,67,62,64,60,59,60,55,53,52,52
67,65,64,60,59,60,55,55,52,52,50
65,64,60,59,60,55,55,55,52,50,48
64,67,59,60,64,55,55,60,50,48,48
67,72,60,64,64,55,60,60,48,48,57
72,72,64,64,65,60,60,60,48,57,57
72,72,64,65,67,60,60,64,57,57,55
72,74,65,67,67,60,64,65,57,55,55
74,71,67,67,67,64,65,62,55,55,55
71,71,67,67,65,65,62,62,55,55,55
71,72,67,65,64,62,62,60,55,55,48
72,72,65,64,65,62,60,57,55,48,53
72,72,64,65,64,60,57,55,48,53,48
72,0,65,64,0,57,55,0,53,48,0
72,67,0,64,62,0,55,55,0,48,47
67,64,64,62,60,55,55,55,48,47,48
64,67,62,60,62,55,55,57,47,48,41
67,65,60,62,62,55,57,57,48,41,41
65,64,62,62,60,57,57,55,41,41,43
64,60,62,60,60,57,55,52,41,43,45
60,62,60,60,59,55,52,55,43,45,43
62,64,60,59,60,52,55,55,45,43,48
64,67,59,60,62,55,55,55,43,48,47
67,66,60,62,60,55,55,50,48,47,45
